symbol,date,price
JTSJOL,2000-12-01,5088
JTSJOL,2001-01-01,5234
JTSJOL,2001-02-01,5097
JTSJOL,2001-03-01,4762
JTSJOL,2001-04-01,4615
JTSJOL,2001-05-01,4425
JTSJOL,2001-06-01,4361
JTSJOL,2001-07-01,4447
JTSJOL,2001-08-01,4024
JTSJOL,2001-09-01,4071
JTSJOL,2001-10-01,3707
JTSJOL,2001-11-01,3775
JTSJOL,2001-12-01,3677
JTSJOL,2002-01-01,3699
JTSJOL,2002-02-01,3436
JTSJOL,2002-03-01,3612
JTSJOL,2002-04-01,3471
JTSJOL,2002-05-01,3457
JTSJOL,2002-06-01,3412
JTSJOL,2002-07-01,3367
JTSJOL,2002-08-01,3517
JTSJOL,2002-09-01,3301
JTSJOL,2002-10-01,3479
JTSJOL,2002-11-01,3514
JTSJOL,2002-12-01,3169
JTSJOL,2003-01-01,3441
JTSJOL,2003-02-01,3229
JTSJOL,2003-03-01,3099
JTSJOL,2003-04-01,3108
JTSJOL,2003-05-01,3289
JTSJOL,2003-06-01,3390
JTSJOL,2003-07-01,2981
JTSJOL,2003-08-01,3190
JTSJOL,2003-09-01,3091
JTSJOL,2003-10-01,3305
JTSJOL,2003-11-01,3324
JTSJOL,2003-12-01,3414
JTSJOL,2004-01-01,3424
JTSJOL,2004-02-01,3532
JTSJOL,2004-03-01,3525
JTSJOL,2004-04-01,3511
JTSJOL,2004-05-01,3710
JTSJOL,2004-06-01,3337
JTSJOL,2004-07-01,3814
JTSJOL,2004-08-01,3541
JTSJOL,2004-09-01,3821
JTSJOL,2004-10-01,3943
JTSJOL,2004-11-01,3472
JTSJOL,2004-12-01,4074
JTSJOL,2005-01-01,3804
JTSJOL,2005-02-01,3965
JTSJOL,2005-03-01,4044
JTSJOL,2005-04-01,4159
JTSJOL,2005-05-01,3797
JTSJOL,2005-06-01,4062
JTSJOL,2005-07-01,4256
JTSJOL,2005-08-01,4142
JTSJOL,2005-09-01,4352
JTSJOL,2005-10-01,4184
JTSJOL,2005-11-01,4248
JTSJOL,2005-12-01,4282
JTSJOL,2006-01-01,4397
JTSJOL,2006-02-01,4325
JTSJOL,2006-03-01,4732
JTSJOL,2006-04-01,4790
JTSJOL,2006-05-01,4463
JTSJOL,2006-06-01,4614
JTSJOL,2006-07-01,4394
JTSJOL,2006-08-01,4710
JTSJOL,2006-09-01,4737
